구분,생산구간,[셀 읽기 실패],[셀 읽기 실패],[셀 읽기 실패]
[셀 읽기 실패],1구간,2구간,3구간,[셀 읽기 실패]
총누적생산량,10대～40대,50대～80대,90대～120대,[셀 읽기 실패]
구간별 누적생산량,10대～40대,10대～40대,10대～40대,[셀 읽기 실패]
학습효과,있음,있음,없음,[셀 읽기 실패]
"변동전환원가(총액)",1구간,280Q10.848원,280Q10.848원,280Q10.848원
[셀 읽기 실패],2구간,-,120Q20.926원,120Q20.926원
[셀 읽기 실패],3구간,-,-,40Q3원
"고정전환원가(총액)","5,000원","10,000원","15,000원",[셀 읽기 실패]
"Q1, Q2, Q3은 각각 1, 2, 3구간의 구간별 누적생산량임. 예를 들어 2구간의 총누적생산량(Q1+Q2)에 대한 변동전환원가(총액)는 280Q10.848원+120Q20.926원으로 추정되며, 총누적생산량이 60대인 경우 Q1=40대, Q2=20대가 됨. ",[셀 읽기 실패],[셀 읽기 실패],[셀 읽기 실패],[셀 읽기 실패]
